,cell_type,marker,tissue
437,Dental pulp stem cell,"ALDH1,CD44,CD45,CD73,CD90,STRO-1",Dental pulp
438,Hematopoietic stem cell,CMAH,Umbilical cord blood
439,Mesenchymal stem cell,CMAH,Umbilical cord blood
440,Epidermal transit amplifying cell,PA-FABP,Foreskin
441,Submandibular gland stem cell,CD34,Submandibular gland
442,Serous acinar cell,CD44,Salivary gland
443,Mucous acinar cell,CD166,Salivary gland
444,Lymphoid cell,"CD56,GranzymeB,TIA1",Blood
445,Multipotent progenitor cell,ISL1,Heart
446,Macrophage,CD68,Retinal pigment epithelium
447,EBV+ B lymphoma cell,CD77,Lymph
448,EBV+ B lymphoma cell,CD77,Kidney
449,EBV+ B lymphoma cell,CD77,Liver
450,Liver stem cell,"CK19,EGF,GSTP,H19,HGF,OV6",Liver
451,Premeiotic germ cell,MAGE-A4,Testis
452,Primordial germ cell,MAGE-A4,Testis
453,Mesenchymal stromal cell,Fibroblastactivationproteinalpha,Bone marrow
454,Megakaryocyte progenitor cell,CD71,Subcutaneous adipose tissue
455,Blast cell,"CD13,CD34,HLA-DR",Bone marrow
456,Intestinal stem cell,LGR5,Gastrointestinal tract
457,Cancer stem cell,"CD133,CD34",Undefined
458,B cell,FMC7,Blood
459,Megakaryocyte,"CD41,CD61",Umbilical cord blood
460,Endocrine progenitor cell,"DDR1,DNER",Pancreas
461,Beta cell,HEPACAM2,Pancreas
462,Endocrine cell,"DISP2,LRP11,SEZ6L2,SLC30A8,Solutecarrierfamily30",Pancreas
463,Intestinal stem cell,DCLK1,Esophagus
464,Intestinal stem cell,DCLK1,Esophagus
465,Lymphocyte,"IL-18R,ST2L",Undefined
466,Neutrophil,MPO,Brain
467,T cell,CD3,Brain
468,B cell,CD20,Brain
469,T helper17 (Th17) cell,CD161,Umbilical cord blood
470,Early hematopoietic cell,AC133,Blood
471,T cell,"CD3,CD4,CD8",Lymphoid tissue
472,B cell,"BLA36,CD20,CD40,CD74,CD80,CD86",Lymphoid tissue
473,T cell,"CD3,CD4,CD8",Lymphoid tissue
474,B cell,"BLA36,CD20,CD40,CD74,CD80,CD86",Lymphoid tissue
475,Myoepithelial cell,P63,Breast
476,Endothelial cell,"CD146,CD45",Blood
477,Mesenchymal progenitor cell,CD166,Cartilage
478,Cancer stem cell,NCAM,Kidney
479,Cancer stem cell,CD44,Undefined
480,Trophoblast cell,Cytokeratin-7,Placenta
481,Podocyte,Ezrin,Renal glomerulus
482,Glomerular epithelial cell,Ezrin,Renal glomerulus
483,Stromal stem cell,STRO-1,Periodontal ligament
484,Dental pulp stem cell,Mitofilin,Dental pulp
485,Adipose-derived stem cell,"CD13,CD29,CD31,CD34,CD44",Subcutaneous adipose tissue
486,Paneth cell,HD-5,Pyloric gland
487,B cell,CD24,Bone marrow
488,B cell,"CD24,CD79a",Bone marrow
489,Dermal papilla cell,CD133,Hair follicle
490,Spermatogonial stem cell,SSEA-4,Testis
491,Schwann cell,Glialfibrillaryacidicprotein,Intervertebral disc
492,Endothelial cell,CD34,Intervertebral disc
493,Mesenchymal stromal cell,"gp130,Leukemiainhibitoryfactorreceptor",Bone marrow
494,Liver progenitor cell,CD24,Liver
495,Pluripotent stem cell,"Alkalinephosphatase,OCT4,SSEA-1,SSEA-3,SSEA-4,TRA-1-60",Embryo
496,Beta cell,FXYD2-gamma,Pancreas
497,Mesenchymal stem cell,CD271,Bone marrow
498,Cancer cell,HMNA,Undefined
499,T cell,"CD25,CD69",Undefined
500,B cell,B-cell-specificactivatorprotein(BSAP),Lymphoid tissue
501,Endothelial cell,CD34,Corpus luteum
502,Cancer stem cell,"CD24,CD26,CD9,SP",Undefined
503,Adipose-derived stem cell,"CD105,CD271,CD49a,CD90",Adipose tissue
504,Cancer stem cell,ALDH1,Undefined
505,Basal cell,TSC-22,Prostate
506,Ciliated cell,MUC8,Nasal epithelium
507,Multipotent stem cell,"CD34,CD44,CD45,CD73,CD90",Adventitia
508,Endothelial cell,VWF,Heart
509,Pancreatic stem cell,CXCR4,Pancreatic acinar tissue
510,Endocrine progenitor cell,CXCR4,Pancreatic acinar tissue
511,Cancer stem cell,"CD24,CD44",Undefined
512,Cancer stem cell,Nestin,Thyroid
513,Basal cell,CD151,Airway epithelium
514,Adipose-derived stem cell,"CD44,CD73,CD9,CD90",Adipose tissue
515,Cancer stem cell,CD133,Gall bladder
516,Muller glia precursor cell,CD44,Retina
517,Basal cell,P63,Prostate
518,Neural stem cell,"SOX1,SOX2,SOX9",Brain
519,Cancer stem cell,"CD44,EpCAM",Stomach
520,Mesenchymal stem cell,"CD105,CD29,CD31,CD34,CD44,CD45,CD73,HLA-DR,HLA-I",Umbilical cord
521,Fibroblast,"CD105,CD14,CD29,CD31,CD34,CD44,CD45,CD73,CD90",Vocal fold
522,Cancer stem cell,"CD133,CD15,CD166,CD24,CD44",Undefined
523,Cancer stem cell,CD44,Undefined
524,T cell,T-MICG,Blood
525,Null cell,N-MICG,Blood
526,Central nervous system stem cell,"CD133,CD24,CD34,CD45",Fetal brain
527,Osteogenic precursor-like cell,BMPRIB,Dermis
528,B cell,"CD19,CD27,IgM",Peripheral blood
529,CD4+ T cell,CD4,Peripheral blood
530,CD4-CD28+ T cell,"BCL2,CD18,CD25,CD30,CD45RA,CD57,CD95,Perforin",Peripheral blood
531,CD4-CD28- T cell,"BCL2,CD18,CD25,CD30,CD45RA,CD57,CD95,Perforin",Peripheral blood
532,Luteinizing granulosa cell,Follicle-stimulatinghormonereceptor,Ovarian follicle
533,Monocyte,"CD14,CD45",Subcutaneous adipose tissue
534,Macrophage,"CD14,CD45",Subcutaneous adipose tissue
535,Macrophage,"CD14,CD206,CD45",Adipose tissue
536,Mesenchymal stromal cell,NG2,Bone marrow
537,T helper cell,Leu-3a,Peripheral blood
538,Suppressor T cell,Leu-2a,Peripheral blood
539,Cytotoxic T cell,Leu-2a,Peripheral blood
540,Natural killer cell,CD56,Peripheral blood
541,B cell,Leu-12,Peripheral blood
542,Decidual cell,DEC1,Blood
543,Activated CD4+ T cell,"CD25,CD29,CD4,CD71",Blood
544,Mesenchymal stem cell,CD349,Placenta
545,Cancer stem cell,CD133,Undefined
546,Hair follicle cell,CD34,Hair follicle
547,T cell,CD4,Ascites
548,T cell,CD8,Ascites
549,Natural killer cell,"CD56,CD16,CD3",Ascites
550,Regulatory T (Treg) cell,"CD25,CD4,FOXP3",Ascites
551,Cancer stem cell,CD133,Brain
552,Regulatory T (Treg) cell,CD39,Peripheral blood
553,Pericyte,"CD146,CD31,CD34",Subcutaneous adipose tissue
554,Mature endothelial cell,"CD31,CD34",Subcutaneous adipose tissue
555,Immature endothelial cell,"CD31,CD34",Subcutaneous adipose tissue
556,Cytokine induced killer cell,"CD3,CD56",Blood
557,Cytokine induced killer cell,"CD3,CD56",Blood
558,Cytokine induced killer cell,"CD3,CD56",Blood
559,Cytokine induced killer cell,"CD3,CD56",Blood
560,Regulatory T (Treg) cell,"CD25,CD4",Blood
561,Regulatory T (Treg) cell,"CD25,CD4",Blood
562,Regulatory T (Treg) cell,"CD25,CD4",Blood
563,Regulatory T (Treg) cell,"CD25,CD4",Blood
564,Hematopoietic stem cell,CD34,Peripheral blood
565,CD14+ endothelial progenitor cell,"CD14,KDR",Blood
566,Regulatory T (Treg) cell,CD39,Peripheral blood
567,Lymphocyte,SIG,Peripheral blood
568,Mesenchymal stem cell,"CD105,CD73,CD90",Undefined
569,Monocyte,CD34,Umbilical cord blood
570,Dendritic cell,CD35,Synovium
571,Monocyte,"CCR7,CD3,CD4,CD45RA,CD62L,CD8,TCRvalpha24,TCRvbeta11",Peripheral blood
572,Dedifferentiation adipocyte,"CD106,CD29,CD34,CD44,CD45,HLA-ABC",Adipose tissue
573,Adipose-derived stem cell,"CD106,CD29,CD34,CD44,CD45,HLA-ABC",Adipose tissue
574,Bile duct cell,"Cytokeratin-19,Cytokeratin-7",Liver
575,Dental pulp stem cell,"CD146,STRO-1",Molar
576,T cell,CD3,Tonsil
577,B cell,"CD20,CD21,CD23,CD40,CD75",Tonsil
578,Myeloid cell,"CD11,CD14,CD16,CD35,CDw32",Tonsil
579,Follicular dendritic cell,FDC,Tonsil
580,Hematopoietic cell,CD45,Bone marrow
581,Hematopoietic progenitor cell,CD34,Bone marrow
582,Hematopoietic cell,CD117,Bone marrow
583,Platelet,CD31,Bone marrow
584,Monocyte,CD31,Bone marrow
585,Endothelial cell,CD31,Bone marrow
586,Neural stem cell,CD133,Bone marrow
587,Hematopoietic stem cell,CD133,Bone marrow
588,Basophil,CD123,Blood
589,Muscle-derived cell,"CD34,CD56",Skeletal muscle
590,Muscle-derived cell,"CD117,CD34,VCAM1,VEGFR-2",Skeletal muscle
591,Endometrial stem cell,MSI1,Endometrium
592,Basal cell,P63,Submandibular gland
593,Mature endothelial cell,CD34,Blood
594,Progenitor-like angiogenesis-promoting cell,CD34,Blood
595,Cancer stem cell,CD133,Undefined
596,Adipose-derived stromal cell,CD31,Adipose tissue
597,Adipose-derived stem cell,CD31,Adipose tissue
598,Mesenchymal stem cell,"CD105,CD73,CD90",Embryonic stem cell
599,Cancer cell,CTR2,Kidney
600,Dopaminergic neuron,FOLR1,Midbrain
601,Cancer cell,"ABCB5,CD271,MCAM,MCSP",Peripheral blood
602,Smooth muscle cell,ACTA2,Blood vessel
603,Alveolar epithelial progenitor cell,CarboxypeptidaseM,Embryonic stem cell
604,Neural stem cell,CD133,Brain
605,Cancer cell,PSMA,Blood
606,Adipose-derived stromal cell,"CD105,CD106,CD34,CD44,CD45,CD73,CD90",Adipose tissue
607,Adipose-derived stem cell,"CD105,CD29,CD44,c-Myc,KLF4,NANOG,OCT4,SOX2",Adipose tissue
608,Adipose-derived stromal cell,"CD105,CD29,CD44,c-Myc,KLF4,NANOG,OCT4,SOX2",Adipose tissue
609,Neuron,"MAP2,NeuN,Synapsin,Tuj1",Adipose tissue
610,Cancer stem cell,CD133,Undefined
611,Cancer stem cell,"ALDH1,CD24,CD44",Undefined
612,IL-17Ralpha T cell,"CD127,CD3",Peripheral blood
613,Hematopoietic stem cell,"CD133,CD34,c-Kit",Corneal endothelium
614,Mesenchymal stem cell,"Integrinbeta-1,STRO-1,TGF-beta,Vimentin",Corneal endothelium
615,Fibroblast,"TGF-beta,alpha-smoothmuscleactin",Corneal endothelium
616,Corneal endothelial cell,"CD133,typeIVcollagen,VEGF,VEGFR-1",Corneal endothelium
617,Cancer cell,TGM2,Esophagus
618,Cancer cell,TRAIL-R1,Undefined
619,Cancer cell,EpCAM,Blood
620,Mesenchymal stem cell,"CD105,CD29,CD44,CD73,CD90",Skeletal muscle
621,Mesenchymal stromal cell,"CD105,CD29,CD44,CD73,CD90",Skeletal muscle
622,Cancer stem cell,CD90,Undefined
623,Cancer cell,ALDH1,Undefined
624,Corneal epithelial progenitor cell,ABCG2,Embryonic stem cell
625,Cancer cell,HLA-ABC,Blood
626,Colonic stem cell,PTK7,Colon
627,Pluripotent stem cell,"CD13,SSEA-4,TRA-1-60",Skin
628,Cancer cell,"EpCAM,HER2,PSA",Blood
629,Cancer cell,"EpCAM,HER2,PSA",Blood
630,Cancer cell,"EpCAM,OCT3/4,SALL4",Peripheral blood
631,Natural killer cell,"CD158,CD16,CD314,CD56,CD94,FASL,NKP46",Adipose tissue
632,Infiltrated mononuclear cell,"CD3,CD68,Reninreceptor",Kidney
633,Adipose-derived stem cell,"CD10,CD141",Subcutaneous adipose tissue
634,Adipose-derived stromal cell,"CD10,CD141",Subcutaneous adipose tissue
635,Adipose-derived stromal cell,"CD142,CD200",Visceral adipose tissue
636,Adipose-derived stem cell,"CD142,CD200",Visceral adipose tissue
637,Naive T cell,"CD27,CD4,CD45RA,CD62L,CD8",Peripheral blood
638,Central memory T cell,"CD27,CD4,CD45RA,CD62L,CD8",Peripheral blood
639,Effector memory T cell,"CD27,CD4,CD45RA,CD62L,CD8",Peripheral blood
640,Effector T cell,"CD27,CD4,CD45RA,CD62L,CD8",Peripheral blood
641,Cancer stem cell,"CD24,CD44",Undefined
642,Gastric stem cell,"MIST1,RUNX1,SOX2,TROY",Gastric corpus
643,Cancer stem cell,"N-cadherin,TIE-2",Blood
644,Cancer stem cell,OCT4,Undefined
645,Endothelial cell,FVIII,Undefined
646,Cancer stem cell,"CD133,Nestin",Undefined
647,Cancer cell,CD20,Undefined
648,B cell,CD20,Undefined
649,T cell,CD8,Undefined
650,Cancer stem cell,"CD133,CD24,CD44,EpCAM",Undefined
651,Mesenchymal stem cell,"CD105,CD14,CD19,CD34,CD45,CD73,CD90,HLA-DR",Bone marrow
652,Cortical thymus epithelial cell,"CD45,CDR2,EpCAM",Thymus
653,Medullary thymus epithelial cell,"CD45,CDR2,EpCAM",Thymus
654,Cancer stem cell,CD133,Larynx
655,Cancer stem cell,CD133,Undefined
656,Neutrophil,"CD13,CD16b,CD45",Pluripotent stem cell
657,Cardiac progenitor cell,"ALCAM,VCAM1,SIRPA",Embryonic stem cell
658,Cardiomyocyte,"ALCAM,VCAM1,SIRPA",Embryonic stem cell
659,Mesenchymal stem cell,"CD105,CD34,CD44,CD73,CD90,HLA-ABC,HLA-DR",Embryonic stem cell
660,Mesenchymal stem cell,"CD105,CD34,CD44,CD73,CD90,HLA-ABC,HLA-DR",Bone marrow
661,Mesenchymal stem cell,"CD105,CD34,CD44,CD73,CD90,HLA-ABC,HLA-DR",Foreskin
662,Mesenchymal stromal cell,"CD105,CD14,CD19,CD31,CD34,CD44,CD45,CD73,CD90",Lymph
663,M1 macrophage,ROS,Undefined
664,M2 macrophage,HLA-DR,Undefined
665,Tumor-propagating cell,CD146,Undefined
666,Cancer stem cell,CD133,Undefined
667,Cancer stem cell,ALDH1A1,Undefined
668,Cancer stem cell,ALDH1A1,Undefined
669,Mesenchymal stem cell,SUSD2,Bone marrow
670,Mesenchymal stromal cell,SUSD2,Bone marrow
671,Mesenchymal stem cell,"CD105,CD146,CD90,STRO-1",Tooth
672,Cancer cell,SSEA-3,Undefined
673,Keratinocyte,"ALDH,CD44,CD71,Integrinalpha-6",Skin
674,Flk1+ mesodermal cell,Coxsackievirusandadenovirusreceptor,Pluripotent stem cell
675,Cancer stem cell,"AFP,CD133,CD44,CD90,EpCAM",Undefined
676,Natural killer cell,NKp46,Splenic red pulp
677,Natural killer cell,NKp46,Lymph node
678,Natural killer cell,NKp46,Lung
679,Natural killer cell,NKp46,Gut
680,Colony-forming cell,CD49f,Prostate
681,Hepatic progenitor-like cell,"CD13,CD133",Pluripotent stem cell
682,Cancer stem cell,"CD24,CD44",Undefined
683,Cancer stem cell,ALDH,Undefined
684,Neural stem cell,"CD200,CD49f",Undefined
685,Endothelial progenitor cell,"CD34,CD45,KDR",Blood
686,Angiogenic T cell,"CD3,CD31,CXCR4",Blood
687,Cancer stem cell,CD133,Undefined
688,Multipotent postnatal stem cell,STRO-1,Bone
689,Multipotent postnatal progenitor cell,STRO-1,Bone
690,Cancer cell,"CD24,CD44,CD45,EpCAM,Integrinbeta-1,uPAR",Blood
691,Cancer stem cell,"CD133,CD44",Undefined
692,Megakaryocyte,"CD41a,CD42b,OCT4,SOX2",Undefined
693,Liver stem cell,NOTCH3,Fetal liver
694,Liver progenitor cell,NOTCH3,Fetal liver
695,Oxyntic stem cell,ASPM,Stomach
696,Oxyntic progenitor cell,ASPM,Stomach
697,Oxyntic stem cell,ASPM,Stomach
698,Oxyntic progenitor cell,ASPM,Stomach
699,Cancer stem cell,"CD133,CD44",Undefined
700,Mesenchymal stem cell,"CD105,CD90",Undefined
701,Pancreatic progenitor cell,GLUT2,Embryonic stem cell
702,Cancer cell,CD20,Blood
703,Cardiomyocyte,CD106,Pluripotent stem cell
704,Cardiomyocyte,CD106,Embryonic stem cell
705,Pancreatic endoderm cell,CD142,Embryonic stem cell
706,Endocrine cell,CD200,Embryonic stem cell
707,Endocrine cell,CD318,Embryonic stem cell
708,Cancer stem cell,CD9,Undefined
709,Epithelial stem cell,P75,Laryngeal squamous epithelium
710,Stromal cell,"CD117,CD133",Undefined
711,Mesenchymal stem cell,"CD117,CD133",Undefined
712,Cancer stem cell,CD44,Undefined
713,Cancer stem cell,"CD44,ESA",Undefined
714,Cancer stem cell,"CD133,CD44,ESA",Undefined
715,Cardiomyocyte,SIRPA,Embryonic stem cell
716,Cardiomyocyte,SIRPA,Pluripotent stem cell
717,Fibroblast,CD90,Embryonic stem cell
718,Vascular smooth muscle cell,CD140b,Embryonic stem cell
719,Endothelial cell,CD31,Embryonic stem cell
720,Cancer stem cell,"CD49f,CD61,ESA",Mammary gland
721,Cancer cell,"CD138,MUM1,Vimentin",Undefined
722,Pancreatic stem cell,AC133,Pancreas
723,Pancreatic progenitor cell,AC133,Pancreas
724,Malignant mesothelioma cell,CA125,Lung
725,Mesothelioma cell,HBME-1,Lung
726,Malignant mesothelioma cell,CA125,Pleura
727,Mesothelioma cell,HBME-1,Pleura
728,Buccal epithelial stem cell,P63,Oral mucosa
729,Stem cell,"CD20,CD271",Undefined
730,Macrophage,CD68,Brain
731,Microglial cell,CD68,Brain
732,Embryonic stem cell,"SSEA-1,SSEA-3,TRA-1-81",Embryonic stem cell
733,Cancer stem cell,"CD24,CD44",Undefined
734,Cancer stem cell,"CD133,CD24,CD44,CXCR4,ESA,PROCR",Undefined
735,Primordial germ cell,"CD38,TNAP",Embryonic stem cell
736,Primordial germ cell,"CD38,TNAP",Pluripotent stem cell
737,Luminal cell,CAM5.2,Prostate
738,Myoepithelial cell,STRA13,Undefined
739,Cancer stem cell,"CD133,Nestin",Undefined
740,Cancer stem cell,ALDH1,Undefined
741,Cancer stem cell,"CD117,CD133,CD44",Undefined
742,PDX1+ pancreatic progenitor cell,"CD24,PDX1",Embryonic stem cell
743,Cancer stem cell,"ABCB1,ABCG2,CD133",Undefined
744,Regulatory T (Treg) cell,"CD101,CD25,CD4",Peripheral blood
745,Responder T cell,"CD101,CD25,CD4",Peripheral blood
746,Cancer stem cell,CD133,Undefined
747,Progenitor cell,Prominin-1,Embryonic stem cell
748,Cancer stem cell,CD133,Undefined
749,Side-population cell,"CD24,CD44,CD49f",Undefined
750,Megakaryocyte,"CD34,CD41a,CD61",Umbilical cord blood
751,Megakaryocyte,"CD34,CD41a,CD61",Peripheral blood
752,Pancreatic endoderm cell,CD142,Undefined
753,Endocrine cell,"CD200,CD318",Undefined
754,Progenitor cell,ALCAM,Undefined
755,CD4+ T cell,CD4,Peripheral blood
756,T helper1 (Th1) cell,IFN-gamma,Peripheral blood
757,T helper2 (Th2) cell,IL-4,Peripheral blood
758,T helper17 (Th17) cell,IL-17,Peripheral blood
759,B cell,CD19,Blood
760,T cell,CD3,Blood
761,Monocyte,CD14,Blood
762,Embryonic stem cell,"CD9,CDH3,EpCAM,GCTM-2",Embryonic stem cell
763,Plasma cell,"CD138,CD19,CD38",Peripheral blood
764,Abnormal plasma cell,"CD138,CD38,CD56",Peripheral blood
765,Cancer stem cell,"ALDH,CD133",Ovary
766,Neutrophil,"CD11b,CD16,CD66b",Blood
767,Regulatory T (Treg) cell,CD122,Peripheral blood
768,Cancer stem cell,"CD24,CD44",Undefined
769,T helper cell,CD4,Eye
770,Macrophage,CD68,Eye
771,Cancer stem cell,CD44,Undefined
772,B cell,BSAP,Undefined
773,Regulatory T (Treg) cell,CD73,Skin
774,Epithelial cell,"ESA,MUC",Mammary epithelium
775,Endothelial progenitor cell,"CD133,CD34,KDR",Blood
776,Cancer stem cell,CD133,Undefined
777,Endothelial cell,Endomucin,Undefined
778,Neural stem cell,Nestin,Spinal cord
779,Neuron,MAP2,Spinal cord
780,Astrocyte,GFAP,Spinal cord
781,Cholinergic neuron,CHAT,Spinal cord
782,Erythroid precursor,GlyA,Bone marrow
783,Embryonic stem cell,EpCAM,Undefined
784,Neutrophil,CD15,Peripheral blood
785,Monocyte,CD14,Peripheral blood
786,T cell,CD3,Peripheral blood
787,Mesenchymal cell,"CD73,CD90",Bone marrow
788,Endothelial progenitor cell,"CD135,CD31,CD34,CD90",Bone marrow
789,Mesenchymal stem cell,"CD105,CD166",Tooth
790,Limbal stem cell,"CK15,SOD2",Corneal epithelium
791,Cancer stem cell,MET,Lung
792,Cancer stem cell,"CD133,CD44",Undefined
793,Cancer stem-like cell,CD15,Brain
794,Cancer stem cell,"CD133,CD44,Integrinalpha2beta1",Undefined
795,Mesenchymal stromal cell,GD2,Bone marrow
796,Liver stem cell,THY1,Fetal liver
797,Platelet,"CD154,CD41,CD61,CD62P",Blood
798,Monocyte,"CD14,CD162,CD242,CD244,COX2,Myeloperoxidase",Blood
799,Leukocyte,CD45,Blood
800,Small intestinal stem cell,DCAMKL-1,Small intestinal crypt
801,Sertoli cell,"anti-Mullerianhormone,Cytokeratin-18",Testis
802,T cell,Dipeptidylpeptidase4,Undefined
803,Eosinophil,EPO,Sputum
804,Neutrophil,HNL,Sputum
805,Eosinophil,EPO,Bronchoalveolar system
806,Neutrophil,HNL,Bronchoalveolar system
807,T cell,"CD3,CD20",Undefined
808,Regulatory T (Treg) cell,FOXP3,Colorectum
809,Hematopoietic progenitor cell,"ALDH,CD34",Bone marrow
810,Red blood cell (erythrocyte),ALDH,Bone marrow
811,Cancer stem cell,EpCAM,Undefined
812,Merkel cell,Cytokeratin-20,Hair follicle
813,Interstitial cell,NADPH,Dorsolateral prefrontal cortex
814,Glutamatergic neuron,"BDNF,CAMKII-alpha,TBR1",Dorsolateral prefrontal cortex
815,Mesenchymal stem cell,STRO-1,Periodontal ligament
816,Embryonic stem cell,c-Kit,Periodontal ligament
817,Hematopoietic stem cell,CD34,Periodontal ligament
818,Cancer stem cell,EZH2,Undefined
819,Cancer stem cell,CD133,Undefined
820,Mesenchymal stem cell,CD271,Periodontal ligament
821,Mesenchymal stem cell,"CD146,STRO-1",Periodontal ligament
822,Mesenchymal stem cell,"CD140a,CD51",Periodontal ligament
823,Neural stem cell,"KSCNS3,NGFR,SLITRK6",Brain
824,Neural progenitor cell,"KSCNS3,NGFR,SLITRK6",Brain
825,Cancer stem cell,TLR4,Undefined
826,Adipose-derived stem cell,"CD31,CD34,CD45",Adipose tissue
827,Endothelial cell,"CD31,CD34",Adipose tissue
828,Smooth muscle cell,"CD146,CD31",Adipose tissue
829,Preadipocyte,"CD31,CD36",Adipose tissue
830,Regulatory T (Treg) cell,"ADA,CD26",Undefined
831,Multipotent mesenchymal stroma cell,"CD105,CD34,CD45,CD73,CD90",Adipose tissue
832,Cancer stem-like cell,CDH5,Brain
833,CD14+CD16+ monocyte,"CD14,CD16",Blood
834,CD14++CD16- monocyte,"CD14,CD16",Blood
835,Monocyte,"CD16,CD56",Peripheral blood
836,Type II pneumocyte,Alkalinephosphatase,Undefined
837,Clara cell,NBT,Undefined
838,Ito cell (hepatic stellate cell),LRAT,Liver
839,Follicular T cell,PD-1,Undefined
840,Endothelial cell,"CD31,CD34",Blood vessel
841,Mesangial cell,CD34,Kidney
842,Hematopoietic cell,"CD117,CD123,CD14,CD34,CD45,CD90,GlycophorinA",Fetal liver
843,Hematopoietic precursor cell,"CD117,CD123,CD14,CD34,CD45,CD90,GlycophorinA",Fetal liver
844,Endothelial precursor cell,"CD133,FLK1,FLT1,TIE-2",Fetal liver
845,Hepatocyte,"a-fetoprotein,Albumin,c-Met,Cytokeratin-19",Fetal liver
846,Liver stem cell,"Alkalinephosphatase,CD29,HLAclassI,HLAclassII",Fetal liver
847,Bone marrow stem cell,"CD105,CD14,CD166,CD29,CD34,CD44,CD45,CD73,CD90",Bone marrow
848,Myometrial stem cell,"CD44,STRO-1",Myometrium
849,Cancer stem cell,"CD44,STRO-1",Myometrium
850,Stem cell,"DNMT3B,GDF3,NANOG,OCT4",Undefined
851,T cell,CD3,Optic nerve
852,Microglial cell,IBA1,Optic nerve
853,Embryonic stem cell,"CD15,FORSE1,HNK1,P75",Embryo
854,Osteocyte,CD44,Bone
855,Osteoblast,"ALP,STRO-1",Bone marrow
856,Embryonic stem cell,OCT3/4,Embryo
857,Cytotrophoblast,CEACAM1,Endometrium
858,Trophoblast cell,"Cytokeratin-7,Vimentin",Placenta
859,B cell,"CD102,CD157,CD18,CD217,CD305,CD31,CD317,CD63,CD97",Undefined
860,Adipose-derived stromal cell,DLK1,Abdominal adipose tissue
861,Adipose progenitor cell,DLK1,Abdominal adipose tissue
862,Zymogenic chief cell,CD13,Gastric epithelium
863,Corneal epithelial stem cell,"CK14,CK3,P63",Eye
864,Embryonic stem cell,EpCAM,Undefined
865,Cardiac progenitor cell,SCA-1,Heart
866,Keratinocyte progenitor cell,"CD34,P63",Skin
867,Stem cell,ALDH1,Undefined
868,Corneal epithelial stem cell,SSEA-4,Eye
869,Mesenchymal stem cell,"DAZL,DDX4,ITA6,ITB1,PIWIl2,PLZF,POU5F1,STRA8",Undefined
870,Mesenchymal stem cell,"CD105,CD133,CD34,CD44,CD90",Umbilical cord
871,Stem cell,"CD26,CD44",Undefined
872,Mesenchymal stromal cell,STRO-1,Bone marrow
873,Osteoblast,Alkalinephosphatase,Bone marrow
874,Cancer stem-like cell,"CD44,SSEA-4",Oral cavity
875,Cardiovascular progenitor cell,"FLT1,FLT4,ISL1,NKX2.5",Heart
876,Mesenchymal stem cell,"LNGFR,THY1",Synovium
877,Hematopoietic progenitor cell,"CAR,FLK1",Undefined
878,Cardiac progenitor cell,"CAR,FLK1",Undefined
879,Naive CD4+ T cell,"CD4,CD45RA,CD62L",Blood
880,Thymic emigrant cell,"CD31,CD45RA,CD62L",Blood
881,Mesenchymal stem cell,"CD105,CD14,CD31,CD34,CD45,CD73,CD90",Umbilical cord
882,Mesenchymal stem cell,"CD146,CD34,CD71,CD90,STRO-1",Tooth
883,Dendritic cell,CD34,Umbilical cord blood
884,T cell,"CD2,CD7",Undefined
885,B cell,"CD10,CD19",Undefined
886,Myeloid cell,"CD13,CD14,CD15,CD33,MPO",Undefined
887,Keratinocyte,CD34,Epithelium
888,Myoepithelial cell,P63,Breast
889,Stem cell,P75,Esophagus
890,Definitive zone cell,CD56,Adrenal gland
891,Chromaffin cell,CD56,Adrenal gland
892,Epidermal stem cell,MCSP,Foreskin
893,Type II pneumocyte,PepsinogenC,Lung
894,Pluripotent stem cell,"CD9,GCTM-2",Undefined
895,Mesenchymal stem cell,"CD34,CD44,CD45",Chorionic villus
896,Mesenchymal stem cell,"CD34,CD44,CD45",Amniotic membrane
897,Natural killer cell,"CD16,CD3,CD56",Uterus
898,Circulating progenitor cell,"ALDH,CD133,CD14,CD146,CD34",Peripheral blood
899,Cancer stem cell,"CD133,CD24,CD44,EpCAM",Undefined
