,cell_type,marker,tissue
2313,Dendritic cell,"ADAM19,B220,BDCA2,CD11c,CD14,CD1a,CD1b,CD1c,CD21,CD45,CD83,CD86,CLIP-170,Clusterin,DCLAMP,CD209,CD302,IL-12,IL-6,IRF7,IRF8,MADDAM,TLR7,TLR9,TNF-alpha",Undefined
2314,Dendritic cell,"CD11c,HLA-DR",Undefined
2315,Dendritic cell,"CD11b,CD13,CD33,CD80,CD83,CD86,MHCclassII",Undefined
2316,Dopaminergic neuron,"Dopaminetransporter,FOXA2,GIRK2,LMX1B,NURR1,Tyrosinehydroxylase",Undefined
2317,Mesoderm cell,"MESDC2,N-Cadherin,Nicalin",Undefined
2318,Ectoderm cell,"NCAM,NOTCH1",Germ
2319,Effector memory T cell,"CD127,CD197,CD44,CD45RO,CD62L,EOMES,KLRG1",Undefined
2320,Effector T cell,"CD122,CD134,CD137,CD223,CD25,CD272,CD278,CD279,CD30,CD366,CD69,KLRG1,T-bet",Undefined
2321,Effector regulatory T (Treg) cell,"CD25,CD4,CD49d",Peripheral blood
2322,Induced pluripotent stem cell,"5T4,ABCG2,ALK4,ActivinRIIB,ALPL,CBX2,CD29,KLF4,KLF5,L1TD1,LEFTY,LEFTY1,LEFTYA,LIN28A,LIN28B,LIN41,NANOG,OCT3/4,OCT4A,OCT4B,Podocalyxin,ZFP42,SMAD2,SMAD3,SOX2,SSEA-1,SSEA-3,SSEA-4,STAT3,DPPA3,SUZ12,TBX2,TBX3,TBX5,TEX19,THAP11,TRA-1-60(R),TRA-1-81,TROP2,UTF1,VISTA,ZIC3",Undefined
2323,Embryonic stem cell,"NANOG,OCT3/4,SOX2",Undefined
2324,Embryonic stem cell,"CD24,CD29,CD324,CD338,CD49f,CD9,SSEA-1,SSEA-3,SSEA-4,SSEA-5,TRA-1-60,TRA-1-81,TRA-2-49,TRA-2-54",Undefined
2325,Embryonic stem cell,"CCR4,CD133,CD15,CD24,CD29,CD30,CD324,CD338,CD49f,CD9,Frizzled-5,GCTM-2,Podocalyxin,SSEA-3,SSEA-4,TRA-1-60,TRA-1-81",Germ
2326,Embryonic stem cell,"CD117,CD24,CD29,CD31,CD324,CD326,CD59,CD9,CD90",Undefined
2327,Endothelial cell,"CD102,CD105,CD106,CD13,CD141,CD206,CD31,CD324,CD34,CD40,CD54,CD62,CD81,LYVE-1,Podoplanin,VEGF,VEGFR-1,VEGFR-2,VEGFR-3",Blood vessel
2328,Endothelial cell,"Apelin,CD141,CD144,CD146,CD31,CD62E,ENOS,ICAM1,VEGFR1,VEGFR2,VEGFR3",Undefined
